Time,FromRest,Run1,Run2,Run3,Run4,Run5,Run6,Run7,,MassAdded,T2,,,b
3.45,0.7965832,0.6835304,0.6404496,0.6467608,0.6451144,0.6511512,0.6275528,0.6451144,,,,,,
3.5,0.790272,0.6870976,0.6371568,0.6412728,0.643468,0.6396264,0.6217904,0.6374312,,,,,,
3.55,0.787528,0.6920368,0.6371568,0.639352,0.6412728,0.6289248,0.6184976,0.6319432,,,,,,
3.6,0.784784,0.6991712,0.63798,0.6396264,0.6415472,0.6212416,0.6182232,0.6289248,,,,,,
3.65,0.7817656,0.7085008,0.6437424,0.6415472,0.642096,0.6157536,0.6190464,0.6281016,,,,,,
3.7,0.7798448,0.7186536,0.6500536,0.6464864,0.6492304,0.6121864,0.622888,0.628376,,,,,,
3.75,0.776552,0.7315504,0.65856,0.6533464,0.6560904,0.611912,0.6289248,0.6319432,,,,,,
3.8,0.7754544,0.7452704,0.6700848,0.662676,0.6648712,0.6138328,0.6374312,0.636608,,,,,,
3.85,0.773808,0.7609112,0.6843536,0.6742008,0.6761216,0.618772,0.6478584,0.6440168,,,,,,
3.9,0.772436,0.7773752,0.69972,0.687372,0.6895672,0.6245344,0.6610296,0.6533464,,,,,,
3.95,0.7721616,0.7965832,0.7164584,0.7021896,0.7041104,0.633864,0.675024,0.6643224,,,,,,
4,0.7713384,0.8152424,0.7356664,0.7194768,0.7205744,0.6451144,0.6906648,0.6769448,,,,,,
4.05,0.771064,0.834176,0.7554232,0.7375872,0.7384104,0.6582856,0.7085008,0.6917624,,,,,,
4.1,0.7705152,0.8531096,0.7773752,0.757344,0.7576184,0.673652,0.7279832,0.7085008,,,,,,
4.15,0.769692,0.8706712,0.7996016,0.7781984,0.7776496,0.6906648,0.7482888,0.7263368,,,,,,
4.2,0.7694176,0.8920744,0.821828,0.8015224,0.8004248,0.7104216,0.769692,0.7447216,,,,,,
4.25,0.7694176,0.911008,0.8481704,0.824572,0.8223768,0.7307272,0.794388,0.7650272,,,,,,
4.3,0.7685944,0.9277464,0.8723176,0.8473472,0.8443288,0.7521304,0.8152424,0.7858816,,,,,,
4.35,0.7674968,0.9450336,0.8956416,0.8701224,0.86436,0.7749056,0.8413104,0.8070104,,,,,,
4.4,0.7672224,0.9636928,0.9189656,0.893172,0.8893304,0.7982296,0.8651832,0.8317064,,,,,,
4.45,0.7663992,0.979608,0.9392712,0.9153984,0.911008,0.824572,0.8887816,0.8536584,,,,,,
4.5,0.7658504,0.9941512,0.9609488,0.935704,0.9324112,0.8495424,0.9121056,0.8764336,,,,,,
4.55,0.765576,1.0075968,0.9820776,0.9568328,0.9529912,0.8742384,0.9335088,0.8989344,,,,,,
4.6,0.7644784,1.0188472,0.9979928,0.9793336,0.9732968,0.8989344,0.9579304,0.920612,,,,,,
4.65,0.762832,1.0281768,1.02214,0.998816,0.9900352,0.9230816,0.9774128,0.9417408,,,,,,
4.7,0.7622832,1.0366832,1.0353112,1.0133592,1.009792,0.9469544,0.9977184,0.9612232,,,,,,
4.75,0.76146,1.0424456,1.0528728,1.0328416,1.026256,0.9664368,1.012536,0.98098,,,,,,
4.8,0.7606368,1.0407992,1.0652208,1.0473848,1.0347624,0.9886632,1.0369576,1.00156,,,,,,
4.85,0.7603624,1.041348,1.0616536,1.0600072,1.0515008,1.0064992,1.0531472,1.019396,,,,,,
4.9,0.760088,1.0311952,1.0836056,1.0707088,1.064672,1.0322928,1.0676904,1.0300976,,,,,,
4.95,0.7606368,1.0460128,1.0890936,1.0792152,1.0734528,1.0498544,1.0803128,1.050952,,,,,,
5,0.7609112,1.0416224,1.0926608,1.0847032,1.0805872,1.0657696,1.0904656,1.0613792,,,,,,
5.05,0.7611856,1.0333904,1.09074,1.0896424,1.0849776,1.0794896,1.0992464,1.0748248,,,,,,
5.1,0.7622832,1.027628,1.0918376,1.0910144,1.0874472,1.0890936,1.1052832,1.0844288,,,,,,
5.15,0.7631064,1.0177496,1.0874472,1.0904656,1.0855264,1.1011672,1.1091248,1.092112,,,,,,
5.2,0.7639296,1.000188,1.0781176,1.0874472,1.0863496,1.1088504,1.11132,1.0973256,,,,,,
5.25,0.764204,0.9908584,1.0726296,1.0819592,1.0819592,1.11132,1.1107712,1.0967768,,,,,,
5.3,0.7639296,0.9724736,1.061928,1.0682392,1.0734528,1.1162592,1.1019904,1.101716,,,,,,
5.35,0.7631064,0.9609488,1.045464,1.0652208,1.0679648,1.1170824,1.100344,1.1008928,,,,,,
5.4,0.7633808,0.9433872,1.033116,1.0534216,1.0575376,1.1148872,1.0923864,1.0978744,,,,,,
5.45,0.7631064,0.9263744,1.0108896,1.0394272,1.0418968,1.1107712,1.0863496,1.0923864,,,,,,
5.5,0.7633808,0.9104592,0.9977184,1.0243352,1.0287256,1.1039112,1.0748248,1.082508,,,,,,
5.55,0.764204,0.889056,0.9763152,1.004304,1.0155544,1.094856,1.0613792,1.0761968,,,,,,
5.6,0.7663992,0.8720432,0.9557352,0.9829008,0.9979928,1.0833312,1.0465616,1.0624768,,,,,,
5.65,0.7691432,0.8531096,0.9335088,0.9691808,0.9798824,1.07016,1.0292744,1.0525984,,,,,,
5.7,0.7740824,0.834176,0.9126544,0.9455824,0.9579304,1.0542448,1.0114384,1.0377808,,,,,,
5.75,0.779296,0.8155168,0.8896048,0.9263744,0.9395456,1.0355856,0.989212,1.0215912,,,,,,
5.8,0.7878024,0.7979552,0.8662808,0.9052456,0.9189656,1.0188472,0.9689064,1.0040296,,,,,,
5.85,0.7949368,0.7784728,0.8429568,0.8824704,0.8975624,0.9979928,0.9472288,0.9834496,,,,,,
5.9,0.8009736,0.7622832,0.8201816,0.8596952,0.8756104,0.976864,0.9263744,0.9634184,,,,,,
5.95,0.8119496,0.7471912,0.7954856,0.8366456,0.853384,0.9524424,0.9038736,0.942564,,,,,,
6,0.8210048,0.7337456,0.7735336,0.8119496,0.831432,0.9313136,0.8800008,0.9241792,,,,,,
6.05,0.8308832,0.7213976,0.7529536,0.7910952,0.8097544,0.9074408,0.8572256,0.902776,,,,,,
6.1,0.8415848,0.710696,0.7331968,0.7718872,0.7894488,0.8810984,0.8336272,0.880824,,,,,,
6.15,0.852012,0.7027384,0.7150864,0.7502096,0.7672224,0.858872,0.808108,0.8583232,,,,,,
6.2,0.8627136,0.6958784,0.6986224,0.731276,0.74774,0.834176,0.7878024,0.8360968,,,,,,
6.25,0.8736896,0.6903904,0.6835304,0.7142632,0.729904,0.808108,0.7636552,0.8119496,,,,,,
6.3,0.8843912,0.687372,0.6717312,0.6975248,0.7128912,0.7842352,0.7430752,0.7932904,,,,,,
6.35,0.8948184,0.6870976,0.6615784,0.6840792,0.6980736,0.7620088,0.7233184,0.7705152,,,,,,
6.4,0.9052456,0.6876464,0.6522488,0.67228,0.6851768,0.7403312,0.705208,0.750484,,,,,,
6.45,0.9148496,0.6909392,0.6464864,0.6615784,0.6733776,0.7194768,0.6879208,0.7318248,,,,,,
6.5,0.9239048,0.6961528,0.6437424,0.6538952,0.664048,0.7005432,0.6725544,0.7145376,,,,,,
